0.09580,0.61566,-0.26938,-0.43143,0.17659,1.16851,-2.39245,0.00000,0.00000
0.09594,0.61676,-0.26960,-0.42279,0.17738,1.19275,-2.39244,0.00000,0.00000
0.09645,0.61775,-0.26968,-0.41485,0.17822,1.21508,-2.39243,0.00000,0.00000
0.09729,0.61865,-0.26958,-0.40755,0.17912,1.23567,-2.39242,0.00000,0.00000
0.09844,0.61946,-0.26930,-0.40082,0.18007,1.25468,-2.39242,0.00000,0.00000
0.09986,0.62020,-0.26884,-0.39459,0.18106,1.27224,-2.39241,0.00000,0.00000
0.10152,0.62086,-0.26820,-0.38883,0.18209,1.28850,-2.39240,0.00000,0.00000
0.10340,0.62145,-0.26740,-0.38349,0.18317,1.30356,-2.39239,0.00000,0.00000
0.10548,0.62198,-0.26646,-0.37851,0.18427,1.31753,-2.39238,0.00000,0.00000
0.10772,0.62246,-0.26538,-0.37388,0.18540,1.33051,-2.39237,0.00000,0.00000
0.11012,0.62289,-0.26417,-0.36955,0.18656,1.34259,-2.39236,0.00000,0.00000
0.11266,0.62328,-0.26286,-0.36550,0.18774,1.35384,-2.39234,0.00000,0.00000
0.11532,0.62362,-0.26146,-0.36170,0.18894,1.36435,-2.39233,0.00000,0.00000
0.11808,0.62392,-0.25994,-0.35812,0.19015,1.37418,-2.39233,0.00000,0.00000
0.12094,0.62418,-0.25834,-0.35474,0.19137,1.38339,-2.39232,0.00000,0.00000
0.12389,0.62442,-0.25667,-0.35155,0.19260,1.39203,-2.39231,0.00000,0.00000
0.12691,0.62462,-0.25495,-0.34854,0.19384,1.40016,-2.39230,0.00000,0.00000
0.13000,0.62480,-0.25318,-0.34567,0.19509,1.40781,-2.39230,0.00000,0.00000
0.13315,0.62495,-0.25137,-0.34294,0.19634,1.41505,-2.39229,0.00000,0.00000
0.13634,0.62508,-0.24952,-0.34034,0.19760,1.42189,-2.39228,0.00000,0.00000
0.13959,0.62519,-0.24764,-0.33786,0.19886,1.42838,-2.39227,0.00000,0.00000
0.14287,0.62528,-0.24573,-0.33548,0.20013,1.43454,-2.39226,0.00000,0.00000
0.14619,0.62536,-0.24379,-0.33319,0.20139,1.44041,-2.39225,0.00000,0.00000
0.14954,0.62542,-0.24184,-0.33100,0.20266,1.44601,-2.39224,0.00000,0.00000
0.15291,0.62546,-0.23987,-0.32888,0.20392,1.45137,-2.39223,0.00000,0.00000
0.15631,0.62550,-0.23788,-0.32684,0.20519,1.45651,-2.39222,0.00000,0.00000
0.15972,0.62552,-0.23589,-0.32487,0.20645,1.46144,-2.39221,0.00000,0.00000
0.16315,0.62553,-0.23388,-0.32296,0.20771,1.46619,-2.39220,0.00000,0.00000
0.16660,0.62554,-0.23187,-0.32111,0.20897,1.47076,-2.39219,0.00000,0.00000
0.17005,0.62553,-0.22985,-0.31931,0.21023,1.47518,-2.39218,0.00000,0.00000
0.17351,0.62552,-0.22782,-0.31756,0.21148,1.47946,-2.39217,0.00000,0.00000
0.17698,0.62551,-0.22580,-0.31586,0.21273,1.48361,-2.39216,0.00000,0.00000
0.18045,0.62549,-0.22377,-0.31420,0.21398,1.48764,-2.39215,0.00000,0.00000
0.18392,0.62546,-0.22174,-0.31258,0.21522,1.49157,-2.39215,0.00000,0.00000
0.18740,0.62543,-0.21971,-0.31100,0.21646,1.49539,-2.39214,0.00000,0.00000
0.19087,0.62540,-0.21768,-0.30945,0.21769,1.49912,-2.39213,0.00000,0.00000
0.19433,0.62536,-0.21566,-0.30794,0.21888,1.50276,-2.39212,0.00000,0.00000
0.19780,0.62532,-0.21365,-0.30646,0.22007,1.50633,-2.39212,0.00000,0.00000
0.20126,0.62528,-0.21166,-0.30500,0.22125,1.50982,-2.39211,0.00000,0.00000
0.20472,0.62524,-0.20969,-0.30358,0.22243,1.51325,-2.39211,0.00000,0.00000
0.20817,0.62520,-0.20774,-0.30218,0.22360,1.51661,-2.39211,0.00000,0.00000
0.21162,0.62516,-0.20581,-0.30081,0.22477,1.51991,-2.39211,0.00000,0.00000
0.21506,0.62511,-0.20391,-0.29946,0.22593,1.52316,-2.39210,0.00000,0.00000
0.21850,0.62506,-0.20204,-0.29814,0.22708,1.52635,-2.39210,0.00000,0.00000
0.22193,0.62502,-0.20019,-0.29684,0.22823,1.52949,-2.39210,0.00000,0.00000
0.22535,0.62497,-0.19837,-0.29556,0.22937,1.53258,-2.39210,0.00000,0.00000
0.22876,0.62492,-0.19658,-0.29430,0.23051,1.53563,-2.39209,0.00000,0.00000
0.23216,0.62488,-0.19482,-0.29306,0.23164,1.53863,-2.39209,0.00000,0.00000
