-3.63269,-42.97659,-2.49426,18.09949,0.55296,-0.29413,-0.00217
-20.90326,-40.40552,-8.80949,14.79260,-1.13408,-0.20472,-0.01045
-21.31485,-36.26687,-9.12138,12.91167,-1.45600,-0.20403,0.00157
-19.60912,-32.45406,-8.41168,11.44402,-1.37699,-0.21357,-0.00007
-17.64260,-28.99465,-7.59318,10.16955,-1.28742,-0.22441,-0.00125
-15.82227,-25.88228,-6.81863,9.03069,-1.17496,-0.23322,-0.00178
-14.18811,-23.08411,-6.10905,8.00738,-1.04720,-0.23982,-0.00230
-12.72219,-20.56543,-5.46621,7.08682,-0.91943,-0.24473,-0.00292
-11.39416,-18.29359,-4.89217,6.25871,-0.82195,-0.24902,-0.00282
-10.20648,-16.24914,-4.37793,5.51319,-0.73490,-0.25241,-0.00241
-9.14290,-14.40981,-3.91651,4.84225,-0.65689,-0.25518,-0.00110
-8.18961,-12.75629,-3.50134,4.23872,-0.58640,-0.25744,0.00098
-7.33568,-11.27089,-3.12735,3.69591,-0.52251,-0.25888,0.00098
-6.57395,-9.93458,-2.79380,3.20705,-0.46646,-0.25987,0.00099
-5.89207,-8.73220,-2.49496,2.76693,-0.41648,-0.26056,0.00100
-5.28079,-7.65029,-2.22684,2.37075,-0.37178,-0.26101,0.00102
-4.73249,-6.67678,-1.98617,2.01415,-0.33176,-0.26129,0.00104
-4.24049,-5.80079,-1.77009,1.69318,-0.29592,-0.26143,0.00106
-3.79889,-5.01255,-1.57604,1.40427,-0.26381,-0.26146,0.00109
-3.40239,-4.30327,-1.40175,1.14424,-0.23503,-0.26142,0.00111
-3.04629,-3.66502,-1.24518,0.91019,-0.20923,-0.26133,0.00114
-2.72637,-3.09068,-1.10449,0.69953,-0.18610,-0.26119,0.00117
-2.43887,-2.57385,-0.97804,0.50994,-0.16534,-0.26103,0.00120
-2.18043,-2.10873,-0.86438,0.33928,-0.14672,-0.26085,0.00122
-1.94802,-1.69017,-0.76217,0.18569,-0.13000,-0.26066,0.00125
-1.73896,-1.31348,-0.67025,0.04746,-0.11498,-0.26047,0.00127
-1.55082,-0.97445,-0.58755,-0.07695,-0.10149,-0.26028,0.00130
-1.38145,-0.66932,-0.51313,-0.18892,-0.08936,-0.26009,0.00132
-1.22891,-0.39467,-0.44613,-0.28969,-0.07844,-0.25990,0.00134
-1.09147,-0.14746,-0.38579,-0.38037,-0.06862,-0.25973,0.00136
-0.96756,0.07508,-0.33143,-0.46199,-0.05977,-0.25956,0.00138
-0.85581,0.27542,-0.28244,-0.53543,-0.05179,-0.25940,0.00140
-0.75495,0.45578,-0.23825,-0.60153,-0.04459,-0.25925,0.00142
-0.66388,0.61817,-0.19839,-0.66101,-0.03810,-0.25911,0.00144
-0.58158,0.76440,-0.16241,-0.71453,-0.03222,-0.25897,0.00145
-0.50715,0.89609,-0.12990,-0.76269,-0.02691,-0.25885,0.00147
-0.43979,1.01470,-0.10052,-0.80603,-0.02209,-0.25874,0.00148
-0.37877,1.12154,-0.07394,-0.84503,-0.01773,-0.25863,0.00150
-0.32344,1.21779,-0.04987,-0.88012,-0.01376,-0.25853,0.00151
-0.27323,1.30451,-0.02807,-0.91168,-0.01015,-0.25844,0.00152
-0.22760,1.38267,-0.00829,-0.94009,-0.00687,-0.25836,0.00153
-0.18608,1.45313,0.00968,-0.96565,-0.00387,-0.25828,0.00154
-0.14827,1.51663,0.02601,-0.98864,-0.00113,-0.25821,0.00155
-0.11376,1.57391,0.04087,-1.00933,0.00139,-0.25814,0.00156
-0.08224,1.62558,0.05442,-1.02794,0.00369,-0.25808,0.00157
-0.05340,1.67220,0.06678,-1.04469,0.00581,-0.25802,0.00158
-0.02695,1.71427,0.07809,-1.05975,0.00777,-0.25797,0.00159
-0.00266,1.75227,0.08845,-1.07330,0.00958,-0.25793,0.00160
0.01970,1.78660,0.09795,-1.08549,0.01126,-0.25788,0.00160
0.04031,1.81760,0.10668,-1.09646,0.01282,-0.25784,0.00161
0.05937,1.84566,0.11472,-1.10633,0.01427,-0.25781,0.00161
0.07702,1.87103,0.12215,-1.11520,0.01562,-0.25777,0.00162
0.09341,1.89399,0.12902,-1.12319,0.01690,-0.25774,0.00163
0.10867,1.91479,0.13539,-1.13037,0.01809,-0.25771,0.00163
0.12292,1.93365,0.14132,-1.13684,0.01922,-0.25769,0.00164
0.13625,1.95077,0.14684,-1.14266,0.02029,-0.25766,0.00164
0.14876,1.96631,0.15200,-1.14789,0.02130,-0.25764,0.00164
0.16054,1.98043,0.15683,-1.15261,0.02226,-0.25762,0.00165
0.17165,1.99328,0.16138,-1.15685,0.02318,-0.25760,0.00165
0.18216,2.00499,0.16566,-1.16067,0.02405,-0.25758,0.00166
0.19214,2.01566,0.16971,-1.16411,0.02490,-0.25757,0.00166
0.20164,2.02544,0.17354,-1.16721,0.02571,-0.25755,0.00166
0.21071,2.03435,0.17719,-1.17000,0.02649,-0.25754,0.00167
0.21938,2.04254,0.18066,-1.17252,0.02725,-0.25752,0.00167
0.22771,2.05005,0.18398,-1.17479,0.02798,-0.25751,0.00167
0.23572,2.05694,0.18717,-1.17684,0.02869,-0.25750,0.00168
0.24344,2.06332,0.19022,-1.17870,0.02939,-0.25749,0.00168
0.25091,2.06919,0.19317,-1.18037,0.03006,-0.25748,0.00168
0.25814,2.07463,0.19601,-1.18188,0.03072,-0.25747,0.00168
0.26517,2.07969,0.19877,-1.18326,0.03137,-0.25746,0.00169
0.27201,2.08437,0.20144,-1.18450,0.03201,-0.25745,0.00169
0.27867,2.08876,0.20404,-1.18563,0.03263,-0.25745,0.00169
0.28519,2.09285,0.20657,-1.18665,0.03324,-0.25744,0.00169
0.29157,2.09670,0.20904,-1.18759,0.03385,-0.25743,0.00170
0.29782,2.10031,0.21146,-1.18844,0.03444,-0.25743,0.00170
0.30395,2.10372,0.21383,-1.18923,0.03503,-0.25742,0.00170
0.30998,2.10695,0.21615,-1.18994,0.03561,-0.25741,0.00170
0.31592,2.11000,0.21843,-1.19060,0.03619,-0.25741,0.00170
0.32177,2.11292,0.22068,-1.19121,0.03676,-0.25740,0.00171
0.32755,2.11569,0.22289,-1.19176,0.03732,-0.25739,0.00171
0.33325,2.11835,0.22508,-1.19229,0.03788,-0.25739,0.00171
0.33889,2.12091,0.22724,-1.19277,0.03844,-0.25738,0.00171
0.34447,2.12338,0.22937,-1.19323,0.03899,-0.25738,0.00171
0.34999,2.12575,0.23148,-1.19365,0.03953,-0.25737,0.00172
0.35547,2.12805,0.23356,-1.19405,0.04008,-0.25737,0.00172
0.36090,2.13029,0.23563,-1.19443,0.04062,-0.25736,0.00172
0.36628,2.13246,0.23768,-1.19478,0.04115,-0.25736,0.00172
0.37163,2.13459,0.23972,-1.19513,0.04169,-0.25735,0.00172
0.37693,2.13666,0.24174,-1.19546,0.04222,-0.25735,0.00172
0.38221,2.13868,0.24374,-1.19577,0.04275,-0.25734,0.00173
0.38745,2.14068,0.24574,-1.19608,0.04327,-0.25734,0.00173
0.39266,2.14264,0.24772,-1.19637,0.04380,-0.25733,0.00173
0.39784,2.14458,0.24969,-1.19666,0.04432,-0.25733,0.00173
0.40300,2.14648,0.25165,-1.19695,0.04484,-0.25732,0.00173
0.40813,2.14835,0.25360,-1.19722,0.04535,-0.25731,0.00173
0.41324,2.15021,0.25554,-1.19749,0.04587,-0.25731,0.00174
0.41832,2.15206,0.25747,-1.19776,0.04638,-0.25730,0.00174
0.42338,2.15389,0.25940,-1.19803,0.04689,-0.25730,0.00174
0.42843,2.15570,0.26131,-1.19829,0.04740,-0.25729,0.00174
0.43345,2.15750,0.26322,-1.19855,0.04791,-0.25729,0.00174
0.43845,2.15929,0.26513,-1.19882,0.04842,-0.25728,0.00174
0.44343,2.16108,0.26702,-1.19908,0.04892,-0.25727,0.00174
0.44840,2.16284,0.26891,-1.19934,0.04942,-0.25727,0.00175
0.45334,2.16461,0.27079,-1.19960,0.04992,-0.25726,0.00175
0.45827,2.16637,0.27267,-1.19986,0.05042,-0.25725,0.00175
0.46318,2.16811,0.27454,-1.20012,0.05092,-0.25725,0.00175
0.46808,2.16987,0.27640,-1.20039,0.05142,-0.25724,0.00175
0.47296,2.17161,0.27826,-1.20065,0.05191,-0.25723,0.00175
0.47782,2.17335,0.28012,-1.20092,0.05241,-0.25723,0.00175
0.48267,2.17508,0.28197,-1.20119,0.05290,-0.25722,0.00176
0.48750,2.17682,0.28381,-1.20146,0.05339,-0.25721,0.00176
0.49232,2.17854,0.28565,-1.20173,0.05388,-0.25720,0.00176
0.49712,2.18027,0.28748,-1.20200,0.05437,-0.25720,0.00176
0.50191,2.18201,0.28931,-1.20228,0.05485,-0.25719,0.00176
0.50668,2.18372,0.29113,-1.20255,0.05534,-0.25718,0.00176
0.51144,2.18545,0.29295,-1.20283,0.05582,-0.25717,0.00176
0.51618,2.18716,0.29476,-1.20311,0.05631,-0.25717,0.00177
0.52091,2.18889,0.29657,-1.20339,0.05679,-0.25716,0.00177
0.52562,2.19060,0.29837,-1.20367,0.05727,-0.25715,0.00177
0.53032,2.19231,0.30017,-1.20396,0.05775,-0.25714,0.00177
0.53500,2.19403,0.30197,-1.20425,0.05822,-0.25713,0.00177
0.53967,2.19574,0.30376,-1.20453,0.05870,-0.25712,0.00177
0.54433,2.19745,0.30554,-1.20482,0.05917,-0.25711,0.00177
0.54897,2.19916,0.30732,-1.20511,0.05965,-0.25710,0.00177
0.55359,2.20086,0.30910,-1.20540,0.06012,-0.25709,0.00178
0.55821,2.20255,0.31087,-1.20569,0.06059,-0.25708,0.00178
0.56280,2.20426,0.31263,-1.20599,0.06106,-0.25707,0.00178
0.56739,2.20595,0.31440,-1.20628,0.06153,-0.25706,0.00178
0.57196,2.20765,0.31615,-1.20658,0.06200,-0.25705,0.00178
0.57651,2.20934,0.31791,-1.20688,0.06246,-0.25704,0.00178
0.58105,2.21102,0.31966,-1.20717,0.06293,-0.25703,0.00178
0.58558,2.21271,0.32140,-1.20747,0.06339,-0.25702,0.00178
0.59009,2.21439,0.32314,-1.20777,0.06385,-0.25701,0.00179
0.59459,2.21606,0.32487,-1.20806,0.06431,-0.25700,0.00179
0.59908,2.21772,0.32661,-1.20836,0.06477,-0.25698,0.00179
0.60355,2.21939,0.32833,-1.20866,0.06523,-0.25697,0.00179
0.60801,2.22105,0.33005,-1.20895,0.06569,-0.25696,0.00179
0.61245,2.22271,0.33177,-1.20925,0.06615,-0.25695,0.00179
0.61688,2.22435,0.33349,-1.20954,0.06660,-0.25693,0.00179
0.62129,2.22600,0.33519,-1.20984,0.06706,-0.25692,0.00179
0.62569,2.22763,0.33690,-1.21013,0.06751,-0.25691,0.00180
0.63008,2.22927,0.33860,-1.21043,0.06796,-0.25690,0.00180
0.63445,2.23089,0.34030,-1.21072,0.06841,-0.25688,0.00180
0.63881,2.23252,0.34199,-1.21101,0.06886,-0.25687,0.00180
0.64316,2.23412,0.34367,-1.21130,0.06931,-0.25685,0.00180
0.64749,2.23573,0.34536,-1.21158,0.06976,-0.25684,0.00180
0.65180,2.23732,0.34704,-1.21187,0.07021,-0.25682,0.00180
0.65611,2.23891,0.34871,-1.21215,0.07065,-0.25681,0.00180
0.66040,2.24049,0.35038,-1.21243,0.07110,-0.25679,0.00180
0.66467,2.24206,0.35205,-1.21271,0.07154,-0.25678,0.00181
0.66893,2.24361,0.35371,-1.21298,0.07199,-0.25676,0.00181
0.67318,2.24517,0.35537,-1.21326,0.07243,-0.25675,0.00181
0.67742,2.24671,0.35702,-1.21353,0.07287,-0.25673,0.00181
0.68164,2.24824,0.35867,-1.21379,0.07331,-0.25671,0.00181
0.68584,2.24976,0.36032,-1.21406,0.07375,-0.25670,0.00181
0.69004,2.25127,0.36196,-1.21432,0.07419,-0.25668,0.00181
0.69422,2.25278,0.36360,-1.21458,0.07462,-0.25666,0.00181
0.69838,2.25426,0.36523,-1.21483,0.07506,-0.25665,0.00181
0.70254,2.25574,0.36686,-1.21508,0.07549,-0.25663,0.00181
0.70668,2.25720,0.36849,-1.21532,0.07593,-0.25661,0.00182
0.71080,2.25866,0.37011,-1.21556,0.07636,-0.25659,0.00182
0.71491,2.26009,0.37172,-1.21580,0.07679,-0.25657,0.00182
0.71901,2.26151,0.37334,-1.21603,0.07723,-0.25655,0.00182
0.72310,2.26293,0.37495,-1.21625,0.07766,-0.25654,0.00182
0.72717,2.26433,0.37655,-1.21647,0.07809,-0.25652,0.00182
0.73123,2.26571,0.37815,-1.21669,0.07852,-0.25650,0.00182
0.73527,2.26708,0.37975,-1.21690,0.07895,-0.25648,0.00182
0.73930,2.26843,0.38135,-1.21710,0.07937,-0.25646,0.00182
0.74332,2.26978,0.38294,-1.21730,0.07980,-0.25644,0.00182
0.74733,2.27109,0.38452,-1.21749,0.08023,-0.25641,0.00183
0.75132,2.27240,0.38611,-1.21768,0.08065,-0.25639,0.00183
0.75530,2.27369,0.38768,-1.21786,0.08108,-0.25637,0.00183
0.75927,2.27497,0.38926,-1.21803,0.08150,-0.25635,0.00183
0.76322,2.27622,0.39083,-1.21820,0.08193,-0.25633,0.00183
0.76716,2.27746,0.39240,-1.21836,0.08235,-0.25631,0.00183
0.77109,2.27868,0.39396,-1.21851,0.08277,-0.25628,0.00183
0.77500,2.27988,0.39552,-1.21866,0.08319,-0.25626,0.00183
0.77890,2.28107,0.39708,-1.21880,0.08361,-0.25624,0.00183
0.78279,2.28223,0.39863,-1.21892,0.08404,-0.25622,0.00183
0.78666,2.28338,0.40018,-1.21905,0.08446,-0.25619,0.00183
0.79053,2.28450,0.40173,-1.21916,0.08487,-0.25617,0.00183
0.79438,2.28561,0.40327,-1.21927,0.08529,-0.25614,0.00184
0.79821,2.28669,0.40481,-1.21936,0.08571,-0.25612,0.00184
0.80204,2.28775,0.40634,-1.21945,0.08613,-0.25609,0.00184
0.80585,2.28880,0.40788,-1.21953,0.08655,-0.25607,0.00184
0.80965,2.28982,0.40940,-1.21960,0.08696,-0.25604,0.00184
0.81344,2.29081,0.41093,-1.21966,0.08738,-0.25602,0.00184
0.81721,2.29178,0.41245,-1.21970,0.08780,-0.25599,0.00184
0.82097,2.29275,0.41397,-1.21975,0.08821,-0.25597,0.00184
0.82472,2.29366,0.41548,-1.21978,0.08863,-0.25594,0.00184
0.82846,2.29457,0.41700,-1.21979,0.08904,-0.25591,0.00184
0.83218,2.29545,0.41850,-1.21981,0.08945,-0.25589,0.00184
0.83589,2.29630,0.42001,-1.21980,0.08987,-0.25586,0.00184
0.83959,2.29713,0.42151,-1.21979,0.09028,-0.25583,0.00184
0.84328,2.29794,0.42301,-1.21977,0.09069,-0.25580,0.00185
0.84695,2.29871,0.42450,-1.21973,0.09111,-0.25577,0.00185
0.85061,2.29947,0.42600,-1.21969,0.09152,-0.25575,0.00185
